Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"Storyblok GmbH
5.0",Data Scientist,Heimarbeit,Österreich,"We founded Storyblok in 2017 with the vision of becoming the go-to headless content platform. Our services are built by developers for developers, designers and editors with a love for detail.
From the start, we have seen unbelievable growth in community and usage on a global scale, empowering people and companies in 131 countries to build sustainable and reliable projects faster.
As a company, we’ve grown from 20 people to 200 right now, across 45 countries, with 42% identifying as female. We recently secured a Series B funding of $47 million. With that said, there’s plenty of room for personal career advancements. It might come faster than you think. If you want to influence the future of Storyblok and support our community, join us.
What is in it for you
We have been ranked as the 5th most flexible company to work for. You will be joining a growing company where you can contribute to many “firsts”. Plus these benefits:",,,51 bis 200 Mitarbeiter,Unternehmenssoftware & Netzwerklösungen,Informationstechnologie,25 bis 100 Millionen $ (USD),5.0,100 %,N/A,,5.0,4.6,5.0,5.0,5.0,,,70,,
"Siemens
4.1",Data Scientist (m/f/d) - Life Sciences (BK320131),Wien,Österreich,"Together we are driving Austria and Central Eastern Europe forward
We electrify, automate and digitalize:
Our employees make real what matters.

Who we are | Our culture:
Siemens Smart Infrastructure (SI) is shaping the market for intelligent, adaptive infrastructure for today and the future. It addresses the pressing challenges of urbanization and climate change by connecting energy systems, buildings, and industries. SI provides customers with a comprehensive end-to-end portfolio from a single source – with products, systems, solutions and services from the point of power generation all the way to consumption. With an increasingly digitalized ecosystem, it helps customers thrive and communities progress while contributing toward protecting the planet. SI creates environments that care. Siemens Smart Infrastructure has its global headquarters in Zug, Switzerland, and has around 71,000 employees worldwide.",,,Mehr als 10.000 Mitarbeiter,Elektronikherstellung,Produktion,Mehr als 10 Milliarden $ (USD),4.1,85 %,89 %,3.8,3.8,3.7,4.1,3.7,4.1,,,70,https://www.glassdoor.at/Bewertungen/Siemens-Bewertungen-E3510.htm,https://www.glassdoor.at/Benefits/Siemens-Benefits-E3510.htm
"Bosch Group
4.2",Data Scientist - Product Engineering (m/w/div.),Linz,Österreich,"Unternehmensbeschreibung

Bei Bosch gestalten wir Zukunft mit hochwertigen Technologien und Dienstleistungen, die Begeisterung wecken und das Leben der Menschen verbessern. Unser Versprechen an unsere Mitarbeitenden steht dabei felsenfest: Wir wachsen gemeinsam, haben Freude an unserer Arbeit und inspirieren uns gegenseitig. Willkommen bei Bosch.
Das Bosch Engineering Center Linz entwickelt und fertigt innovative Technologien für den gesamten Antriebsstrang in den Marktsegmenten Electrification, Passenger Cars, Commercial Vehicles und Off-Highway. Mit unseren zukunftsweisenden Mobilitätskonzepten gestalten wir mit innovativen Lösungen weltweit den Wandel der Mobilität mit.
We are hiring! Zur Verstärkung unseres Teams suchen wir nach einem Data Scientist für unser Agile Team in Vollzeit - 38,5h/Woche.",,,Mehr als 10.000 Mitarbeiter,Konsumgüterproduktion,Produktion,Mehr als 10 Milliarden $ (USD),4.2,87 %,N/A,,3.9,3.8,4.3,3.7,4.2,,,70,https://www.glassdoor.at/Bewertungen/Bosch-Bewertungen-E4293.htm,
OpenResearch GmbH,Data Scientist (f/m/d),Wien,Österreich,"ESCAPE BORING! JOIN US!

Work when you want, where you want and how you want!

You will love your Job (at) OR! You, a proactive and talented Data Scientist will support the development of end to end connected vehicle solutions with our clients. The role collaborates with an innovative, friendly and supportive global team, including working closely with Product and Project Management, Engineering and Development teams.
Payment - We’d love to unite the best minds under one roof. To achieve that, we aim to make you (also) happy with your salary. The minimum monthly salary is Eur 3,190.00 gross / month when employed full-time. We are ready to prepare a more than attractive salary package for you - based on your qualifications and experience.
Personal growth and professional development - With our performance coach we ensure your personal and professional growth based on your needs. Needless to say there is a budget for training and conferences for every employee.
WHO WE ARE

OpenResearch (OR) is a creative engineering company full of skilled developers, architects, designers, product owners and testers with a focus on mobility and connected vehicle solutions.

Since we hire only the smartest guys out there, we don't tell you how to do your job, we don't tell you where to work (you can choose how much home office you want) and we don't tell you when to work (as long as our client and your colleagues are not concerned).

Tasks

WHAT YOU WOULD DO

Concrete tasks will involve the introduction of different scoring algorithms, the creation of completely new data products or gamification concepts based on driving data.
Requirements

WHAT SKILLS WE ARE LOOKING FOR

( + ) You´re familiar with the Microsoft Azure environment.

( + ) You have an end to end understanding of data pipelines and are skilled at using SQL.

We work from Austria, Germany, Kosovo and Croatia.

Be part of our innovative team and let's ship great applications together!

)",,,1 bis 50 Mitarbeiter,,,,,,,,,,,,,,,70,,
"Sportradar AG
4.0",Data Scientist,Linz,Österreich,"Reporting to the Head of Quants you will be working closely with your colleagues in Quants but also various product owners, developers and traders company wide. Our department is responsible for creating predictive models for both pre-match and in-play betting markets in various sports. This typically requires cleaning up, visualizing, analyzing and interpreting relevant data, as well as implementing the created models in Java and testing them. Publishing and maintaining these Java libraries is also one of our responsibilities. Furthermore, we are providing various data analysis or generally math related tasks on demand.
THE CHALLENGE
Learn how predictive models look like in a betting context and build models on your own, focusing on electronic sports
Support the team in maintaining the codebase
Analyze/evaluate/optimize existing predictive models as model co-owner
Research new methods for future applications",,,1.001 bis 5.000 Mitarbeiter,IT-Kundenbetreuung,Informationstechnologie,Unbekannt/Nicht zutreffend,4.0,82 %,87 %,4.0,3.7,3.3,3.8,3.6,3.8,,,70,https://www.glassdoor.at/Bewertungen/Sportradar-Bewertungen-E629249.htm,https://www.glassdoor.at/Benefits/Sportradar-Benefits-E629249.htm
"Boehringer Ingelheim
4.1",Laboratory Scientist in the NGS laboratory of Translational Medicine and Clinical Pharmacology (f/m/d),Wien,Österreich,"Laboratory Scientist in the NGS laboratory of Translational Medicine and Clinical Pharmacology (f/m/d)-2213140

THE POSITION
We are seeking a highly motivated Lab Scientist to join our Next-Generation Sequencing Laboratory of the Translational Medicine and Clinical Pharmacology team in Vienna. This position will strengthen our multi-disciplinary research team, focused on translational and biomarker-related aspects of pre-clinical drug development for cancer patients. It offers a unique opportunity to work at the forefront of the development of novel cancer therapies, with focus on cancer cell directed and immunotherapeutic agents. The NGS Laboratory is equipped with cutting-edge technology platforms including a Biomek i7 automated workstation, Chromium iX and Visium CytAssist instruments, as well as Illumina NextSeq 2000 and NovaSeq 6000 sequencers. The successful candidate will have the opportunity to learn and further develop innovative genomic, epigenomic and transcriptomic methods, including single-cell and spatial profiling approaches.
This is a fixed term contract for 3 years with option for extension.",,,Mehr als 10.000 Mitarbeiter,Biotechnologie & Arzneimittel,Pharmazeutika & Biotechnologie,Mehr als 10 Milliarden $ (USD),4.1,82 %,90 %,4.0,3.5,4.0,4.0,3.5,3.9,,,70,https://www.glassdoor.at/Bewertungen/Boehringer-Ingelheim-Bewertungen-E10416.htm,https://www.glassdoor.at/Benefits/Boehringer-Ingelheim-Benefits-E10416.htm
"Tractive GmbH
5.0",Senior Data Scientist,Linz,Österreich,"Full-time (4 days, 35h/week)

Tasks

Your territory

As part of our Data team, you will:
Fuel the development of better products and business strategies by mining and analyzing data
Identify opportunities for leveraging company data in collaboration with other teams
Develop custom data models and algorithms to apply to data sets
Develop processes and tools to monitor and analyze data
Requirements

Your profile

Does this sound like you?

For this position, we offer a competitive overpayment based on qualifications and experiences. The annual gross salary starts at € 46,000 on a full-time basis.",,,51 bis 200 Mitarbeiter,IT-Kundenbetreuung,Informationstechnologie,Unbekannt/Nicht zutreffend,5.0,100 %,100 %,4.5,4.8,4.6,5.0,5.0,4.9,,,70,https://www.glassdoor.at/Bewertungen/Tractive-Bewertungen-E1454579.htm,https://www.glassdoor.at/Benefits/Tractive-Benefits-E1454579.htm
"Machine Learning Reply
4.1",Data Scientist (m/f/d),Wien,Österreich,"Job description

At Machine Learning Reply Austria we strive to work on leading-edge data science projects with our clients for which we are seeking Data Science consultants with a strong technical background.

Machine Learning Reply, with its sister companies in Italy and Germany and over 8500 employees at Reply globally, is a fast-growing consultancy focused on solving problems with Data Science and the right organizational frameworks as their backbone. We are a tight knit, laid back, but seriously motivated unit that aims to be involved at conferences and in community of practice with our tech partners.

We offer tailor-made end-to-end solutions in the Data Science area that cover the entire project life cycle - from initial strategy consulting to data architecture and infrastructure issues to data processing and modeling using machine learning algorithms.

We have extensive expertise in the broad Data Science spectrum in all key industries of the German HDAX-companies. With focus on open source and cloud technologies we enable our customers to successfully introduce and implement new data-driven solutions and to optimize already existing processes and products.

Tasks

You are responsible for customised end-to-end solutions in the field of data science that cover the entire project cycle at the customer. Data architecture, infrastructure topics or quality assurance with machine learning algorithms are your passion.


Requirements",,,5.001 bis 10.000 Mitarbeiter,IT-Kundenbetreuung,Informationstechnologie,1 bis 5 Milliarden $ (USD),4.1,88 %,92 %,5.0,4.0,3.9,4.1,3.9,3.7,,,70,,https://www.glassdoor.at/Benefits/Reply-Benefits-E306932.htm
"Erste Group Bank AG
3.9",Data Scientist (all genders),Wien,Österreich,"The future of banking is digital, and IT is the key to this change. Erste Digital is the digital enabler that drives innovative IT solutions for Erste Group, the leading banking group in CEE. Our service involves “run the bank” as well as “change the bank” activities. Our more than 2,000 IT experts and enthusiasts deliver best-in-class IT solutions and services to all Erste Group entities and by this directly to Erste Group’s more than 16 million customers. Are you ready to work for one of the most innovative and largest IT companies in the CEE region? Then hit the “apply now” button.
The divisions Data and Data2Business together provide data, reporting and analytics solutions to steer and grow Erste Group. The data science team provides our business partners with consulting services in data-driven projects where learning from data and getting added value from data-derived insights has a significant part. To reinforce this team, we are looking for a Professional Data Scientist.
As a Data Scientist, you closely collaborate with colleagues from business and IT to design data-driven solutions that will help improve our company. We will rely on you to build machine learning (ML) models or other solutions to identify patterns in our data and extract valuable business insights. In this role, you should be highly analytical with a knack for math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for modeling and algorithms.",,,Mehr als 10.000 Mitarbeiter,Bank- & Kreditwesen,Finanzen,5 bis 10 Milliarden $ (USD),3.9,76 %,100 %,3.9,3.7,3.7,3.7,3.3,3.9,,,70,https://www.glassdoor.at/Bewertungen/Erste-Group-Bewertungen-E10562.htm,https://www.glassdoor.at/Benefits/Erste-Group-Benefits-E10562.htm
"paiqo GmbH
5.0",Data Scientist ( Senior ),Wien,Österreich,"We are a young consulting company with a team of talented data engineers, architects and data scientists specializing in building cloud-based data platforms and AI/ML solutions for our customers. Our customers, with which we have strong relationships and multi-year contracts, include well-known companies in the areas of energy providers & utilities, retail, financial services, and mobile apps. Our projects always involve applying cutting-edge cloud technologies to exciting real-world data. This is shown by our strong relationship with Microsoft where we have multiple Gold- and Advanced Certifications.
One extremely important aspect of the work at paiqo is our culture – having fun working together, trusting each other, and combining independence with teamwork. There are no fixed working hours and no fixed reporting structure. We are looking for Data Engineers who we can trust to do great work on their projects because they are motivated by the challenging nature of the projects themselves. We are also looking for people who we can learn from and who are willing to learn with us, to always stay on the cutting edge with our technical skills.",,,1 bis 50 Mitarbeiter,,,,5.0,N/A,N/A,,3.0,3.0,4.0,5.0,3.0,,,70,,
"Monkee GmbH
4.7",Senior Data Scientist,Rum,Österreich,"Want to be part of an exciting team that revolutionizes savings as we know it?
Want to apply your skills to help solve a big social challenge?

If your answer is YES, then join our team!

Monkee is an early-stage startup in the consumer tech space. We are helping our users to save money by making smart purchasing decisions. We bring retailers and consumers together in meaningful ways and make our users’ saving wallets grow through cashback while retailers benefit from the access to customers with high purchase intent.",,,1 bis 50 Mitarbeiter,,,,4.7,100 %,N/A,,3.7,3.7,5.0,5.0,4.7,,,70,,
"Storyblok GmbH
5.0",Data Engineer,Heimarbeit,Österreich,"From the start, we have seen unbelievable growth in community and usage on a global scale, empowering people and companies in 131 countries to build sustainable and reliable projects faster.
As a company, we’ve grown from 20 people to 175 right now, across 40 countries, with 42% identifying as female. Our goal is to reach 300 employees by the end of 2022! We recently secured a Series B funding of $47 million. With that said, there’s plenty of room for personal career advancements. It might come faster than you think.
We are a growing Developer Experience team in a company with a flat hierarchy. This means we promise you will have lots of autonomy and accessibility on meaty projects. Hopefully, this is your idea of career progression.
Many companies talk at length about their company, we will let the results speak for themselves. In the last 3 years, only one person has left.
Yes, we are fast-paced, and our team is passionate and driven to become the defacto standard in headless CMS. If you want to influence the future of Storyblok, and how businesses manage their content, join us as our Data Engineer.",,,51 bis 200 Mitarbeiter,Unternehmenssoftware & Netzwerklösungen,Informationstechnologie,25 bis 100 Millionen $ (USD),5.0,100 %,N/A,,5.0,4.6,5.0,5.0,5.0,,,70,,
